"Date","Price","Open","High","Low","Vol.","Change %"
"04/13/2017","169.53","169.92","171.36","169.53","3.21M","-0.66%"
"04/12/2017","170.66","171.04","171.20","170.02","3.28M","0.05%"
"04/11/2017","170.58","170.65","171.23","168.98","4.89M","-0.36%"
"04/10/2017","171.20","172.53","172.56","171.00","3.79M","-0.55%"
"04/07/2017","172.14","172.08","172.93","171.28","3.59M","-0.18%"
"04/06/2017","172.45","173.47","173.47","172.25","3.44M","-0.25%"
"04/05/2017","172.88","174.70","176.33","172.81","6.24M","-0.94%"
"04/04/2017","174.52","173.52","174.96","173.26","3.11M","0.01%"
"04/03/2017","174.50","173.82","174.87","173.38","4.29M","0.21%"
"03/31/2017","174.14","173.98","174.95","173.69","2.91M","0.16%"
"03/30/2017","173.86","173.86","174.59","173.69","3.17M","-0.05%"
"03/29/2017","173.94","174.30","174.49","173.46","3.09M","-0.33%"
"03/28/2017","174.51","173.94","175.00","173.00","3.52M","0.43%"
"03/27/2017","173.77","172.69","174.16","172.09","3.26M","-0.03%"
"03/24/2017","173.83","175.12","175.50","173.39","3.22M","-0.57%"
"03/23/2017","174.82","174.43","175.67","173.56","3.74M","0.02%"
"03/22/2017","174.78","174.04","175.06","172.80","3.45M","0.52%"
"03/21/2017","173.88","176.01","176.23","173.84","3.93M","-1.04%"
"03/20/2017","175.70","175.65","176.18","175.14","2.48M","0.03%"
"03/17/2017","175.65","176.29","176.79","175.65","5.92M","-0.90%"
"03/16/2017","177.24","178.46","179.00","176.82","4.31M","0.81%"
"03/15/2017","175.81","175.71","176.28","174.75","3.82M","0.05%"
"03/14/2017","175.72","176.18","176.82","175.21","3.15M","-0.42%"
"03/13/2017","176.46","177.85","178.06","176.41","3.48M","-0.77%"
"03/10/2017","177.83","178.21","179.49","177.42","3.10M","0.37%"
"03/09/2017","177.18","179.15","179.25","175.88","5.44M","-1.26%"
"03/08/2017","179.45","180.75","180.95","179.30","3.56M","-0.52%"
"03/07/2017","180.38","180.71","181.29","180.20","2.98M","-0.05%"
"03/06/2017","180.47","179.72","180.99","179.57","3.20M","0.23%"
"03/03/2017","180.05","180.04","181.32","179.76","1.83M","-0.27%"
"03/02/2017","180.53","181.88","181.88","180.43","2.92M","-0.78%"
"03/01/2017","181.95","180.48","182.55","180.03","3.01M","1.18%"
"02/28/2017","179.82","179.38","180.63","179.35","3.27M","0.23%"
"02/27/2017","179.40","181.19","181.25","179.28","3.69M","-1.08%"
"02/24/2017","181.35","180.21","181.49","179.89","3.30M","-0.17%"
"02/23/2017","181.65","182.00","182.50","180.92","2.28M","0.28%"
"02/22/2017","181.15","180.09","181.34","180.09","3.02M","0.49%"
"02/21/2017","180.26","180.60","180.79","179.12","4.48M","-0.23%"
"02/17/2017","180.67","181.25","181.57","180.00","3.55M","-0.42%"
"02/16/2017","181.43","181.45","182.79","180.87","3.25M","-0.14%"
"02/15/2017","181.68","180.20","181.92","179.81","2.91M","0.86%"
"02/14/2017","180.13","178.57","180.13","178.35","2.78M","0.43%"
"02/13/2017","179.36","179.24","179.90","178.84","3.09M","0.38%"
"02/10/2017","178.68","177.37","178.87","176.76","2.93M","0.83%"
"02/09/2017","177.21","176.17","177.80","175.91","3.09M","0.59%"
"02/08/2017","176.17","177.50","177.50","175.88","2.91M","-1.28%"
"02/07/2017","178.46","176.00","178.62","175.90","3.87M","1.48%"
"02/06/2017","175.86","175.31","175.98","174.38","2.65M","0.02%"
"02/03/2017","175.82","175.00","176.34","174.89","3.31M","0.71%"
"02/02/2017","174.58","174.23","174.97","173.55","2.62M","0.17%"
"02/01/2017","174.29","175.00","175.70","172.89","2.80M","-0.13%"
"01/31/2017","174.52","175.05","175.58","173.61","4.14M","-0.73%"
"01/30/2017","175.80","176.98","177.07","174.58","4.09M","-0.85%"
"01/27/2017","177.30","178.47","179.20","177.30","3.48M","-0.76%"
"01/26/2017","178.66","178.06","178.88","177.51","3.06M","0.21%"
"01/25/2017","178.29","176.26","179.25","176.13","5.92M","1.36%"
"01/24/2017","175.90","171.36","176.00","171.16","6.95M","2.85%"
"01/23/2017","171.03","170.08","171.25","170.01","5.48M","0.28%"
"01/20/2017","170.55","167.81","170.64","166.00","12.69M","2.24%"
"01/19/2017","166.81","166.96","167.45","165.80","6.96M","0.01%"
"01/18/2017","166.80","167.45","168.59","166.69","4.01M","-0.65%"
"01/17/2017","167.89","166.69","168.18","166.12","3.32M","0.33%"
"01/13/2017","167.34","167.97","168.48","166.88","2.88M","-0.36%"
"01/12/2017","167.95","167.77","168.01","165.56","2.93M","0.12%"
"01/11/2017","167.75","166.05","167.76","165.60","3.60M","1.35%"
"01/10/2017","165.52","167.98","168.09","165.34","4.12M","-1.27%"
"01/09/2017","167.65","169.47","169.80","167.62","3.19M","-1.11%"
"01/06/2017","169.53","168.69","169.92","167.52","2.95M","0.49%"
"01/05/2017","168.70","169.25","169.39","167.26","2.68M","-0.33%"
"01/04/2017","169.26","167.77","169.87","167.36","3.38M","1.24%"
"01/03/2017","167.19","167.00","167.87","166.01","2.93M","0.72%"
"12/30/2016","165.99","166.44","166.70","165.50","2.95M","-0.37%"
"12/29/2016","166.60","166.02","166.99","166.00","1.66M","0.25%"
